Fuente,Título,Contenido,Sección,Url,Fecha
Expansión,"['reunión', 'OMC', 'cerrar', 'acuerdo', 'pesca', 'agricultura']","['directora', 'general', 'organismo', ',', 'Ngozi', 'Okonjo-Iweala', ',', 'destacar', 'que', 'reunión', 'tener', 'lugar', '""', 'trasfondo', 'internacional', 'marcado', 'mayor', 'incertidumbre', 'tiempo', 'recordar', '""', '.']",Economía,https://expansion.mx/economia/2024/03/02/reunion-de-omc-cierra-sin-acuerdos-en-pesca-y-agricultura,02/03/2024
Expansión,"['Monte', 'Piedad', 'lograr', 'acuerdo', 'sindicato']","['contrato', 'colectivo', 'trabajo', 'ser', 'someter', 'votación', 'trabajador', '.']",Economía,https://expansion.mx/economia/2024/03/01/monte-de-piedad-logra-acuerdo-con-sindicato,02/03/2024
Expansión,"['no', 'solo', 'BBVA', ',', 'NU', 'México', 'presentar', 'falla', 'hoy', 'hacer', 'transferencia']","['usuario', 'reportar', 'problema', 'momento', 'querer', 'realizar', 'transferencia', '.']",Economía,https://expansion.mx/economia/2024/03/01/nu-mexico-presenta-fallas-hoy,01/03/2024
Expansión,"['ingreso', 'petrolero', 'tributario', 'quedar', 'debajo', 'meta', 'enero']","['reporte', 'Hacienda', 'observar', 'crecimiento', '28.6%', 'gasto', 'programable', '.']",Economía,https://expansion.mx/economia/2024/03/01/ingresos-tributarios-petroleros-no-logran-meta-hacienda,01/03/2024
Expansión,"['Hacienda', 'reducir', 'subsidio', 'diésel']","['cuota', 'impuesto', 'IEPS', 'ser', '6.08', 'pesos', 'litro', ';', 'diésel', ',', 'monto', 'mayor', 'semana', 'terminar', 'viernes', ',', '5.79', 'pesos', 'litro', '.']",Economía,https://expansion.mx/economia/2024/03/01/hacienda-reduce-subsidio-al-diesel-precio-gasolina,01/03/2024
Expansión,"['analista', 'privado', 'reducir', 'expectativa', 'inflación']","['2024', ',', 'analista', 'consultado', 'Banco', 'México', '(', 'Banxico', ')', 'esperar', 'que', 'inflación', 'cerrar', 'año', 'tasa', '4.10%', ',', '4.17%', 'previo', '.']",Economía,https://expansion.mx/economia/2024/03/01/analistas-privados-reducen-expectativa-de-inflacion,01/03/2024
Expansión,"['BBVA', 'reportar', 'falla', 'sistema']","['banco', 'informar', 'usuario', 'que', 'sistema', 'presentar', 'falla', 'especificar', 'si', 'sólo', 'ser', 'app', 'también', '\xa0', 'sucursal', '.']",Economía,https://expansion.mx/economia/2024/03/01/bbva-falla-app,01/03/2024
Expansión,"['remesa', 'desaceleran', 'enero', 'llegar', '4.574.6', 'mdd']","['primero', 'mes', 'año', ',', 'remesa', 'llegar', 'México', 'caer', '16.8%', 'comparación', 'mes', 'previo', '.']",Economía,https://expansion.mx/economia/2024/03/01/remesas-se-desaceleran-enero-2024,01/03/2024
Expansión,"['Finamex', 'buscar', 'capitalizar', 'nearshoring']","['principal', 'casa', 'bolsa', 'México', 'pretender', 'aprovechar', 'tendencia', ',', 'tiempo', 'que', 'atraer', 'pequeño', 'inversionista', '.']",Economía,https://expansion.mx/economia/2024/03/01/finamex-aprovechar-nearshoring-mexico,01/03/2024
Expansión,"['México', 'arrancar', 'año', '52', 'anuncio', 'inversión', 'casi', '26.000', 'mdd']","['62%', 'anuncio', 'inversión', 'corresponder', 'industria', 'sector', 'manufacturero', '.']",Economía,https://expansion.mx/economia/2024/02/29/mexico-arranca-el-ano-con-52-anuncios-de-inversion-por-casi-26-000-mdd,01/03/2024
Expansión,"['trabajador', 'Monte', 'Piedad', 'votar', 'continuidad', 'huelga']","['caso', 'no', 'llegar', 'acuerdo', 'administración', 'sindicato', 'Monte', 'Piedad', 'semana', ',', 'trabajador', 'decidir', 'si', 'continuar', 'levantar', 'huelga', '.']",Economía,https://expansion.mx/economia/2024/02/29/trabajadores-monte-piedad-votaran-huelga,29/02/2024
Expansión,"['17', 'año', ',', 'participación', 'económico', 'mujer', 'México', 'haber', 'pasar', '43', '46%']","['IMCO', 'apuntar', 'que', 'país', 'participación', 'mujer', 'economía', 'tener', 'retraso', 'importante', 'respecto', 'promedio', 'OCDE', '.']",Economía,https://expansion.mx/economia/2024/02/29/participacion-economica-mujer-mexico-aumento-3-en-17-anos,29/02/2024
Expansión,"['pensionar', '72.623', 'mexicano', 'tasa', 'reemplazo', '72%', ':', 'consar']","['enero', '2021', 'diciembre', 'pasado', ',', '63.360', 'persona', 'haber', 'lograr', 'pensionar él', 'gracias', 'reducción', 'semana', 'cotizado', '.']",Economía,https://expansion.mx/economia/2024/02/29/mas-72-623-mexicanos-pensionan-72-ultimo-salario-consar,29/02/2024
Expansión,"['no', 'mérito', 'propio', ':', 'Millennials', 'ser', 'generación', 'más', 'rico', 'historia']","['ahora', ',', 'importante', 'ser', 'gastar', 'invertir', 'grande', 'fortuna', 'heredar', 'país', 'como', 'Estados', 'Unidos', '.', 'cambio', 'generacional', 'riqueza', 'redefinier', 'rumbo', 'negocio', '.']",Economía,https://expansion.mx/economia/2024/02/29/illennials-seran-generacion-mas-rica-historia,29/02/2024
Expansión,"['digitalización', 'poner', 'competir', 'fintech', 'banco', ':', 'Hacienda']","['Roberto', 'Lazzeri', ',', 'Jefe', 'Oficina', 'Secretario', 'Hacienda', ',', 'señalar', 'que', 'llegada', 'empresa', 'tecnología', 'financiero', 'ayuda', 'competencia', 'favor', 'usuario', '.']",Economía,https://expansion.mx/economia/2024/02/29/digitalizacion-pone-a-competir-a-fintech-y-bancos-hacienda,29/02/2024
Expansión,"['industria', 'farmacéutico', 'mexicano', 'poder', 'prosperar', 'más', 'nearshoring']","['haber', 'mano', 'obra', 'calificado', ',', 'costo', 'competitivo', 'infraestructura', 'propiciar', 'nearshoring', 'industria', 'farmacéutico', 'dispositivo', 'médico', '.']",Economía,https://expansion.mx/economia/2024/02/29/industria-farmaceutica-prosperar-nearshoring,29/02/2024
Expansión,"['Banco', 'México', 'perfilar', '""', 'ajuste', 'fino', '""', 'recorte', 'tasa']","['subgobernador', 'Jonathan', 'Heath', 'decir', 'que', 'ser', '""', 'error', '""', 'bajar', 'tasa', 'prematuramente', 'haber', 'ganar', 'batalla', 'inflación', ';', 'embargo', ',', 'decir', 'que', 'poder', 'haber', 'ajuste', '.']",Economía,https://expansion.mx/economia/2024/02/29/seria-un-error-bajar-tasa-de-interes-jonathan-heath,29/02/2024
